,Mouse FACS astrocytes,Mouse FACS astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse neurons,Mouse neurons,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse microglia,Mouse microglia,Mouse endothelial,Mouse endothelial,Mouse whole brain,Mouse whole brain,Mouse whole brain
0610005C13Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610007C21Rik,26.9,23.5,35.0,28.2,47.6,37.8,33.6,34.8,57.8,84.7,47.3,68.7,55.1,52.9,76.0,102.3,59.6,67.5,35.9,32.2,42.3
0610007L01Rik,5.5,3.9,4.8,3.7,5.3,4.0,11.7,12.3,12.4,14.2,10.9,17.2,5.0,7.3,20.4,16.5,14.0,13.1,10.3,9.3,9.9
0610007P08Rik,3.4,3.1,2.2,0.9,2.1,2.0,1.3,2.8,6.0,2.9,8.1,4.0,2.5,3.3,0.5,0.4,4.5,4.9,3.4,2.9,3.7
0610007P14Rik,14.1,8.1,22.0,17.9,21.7,17.7,25.1,23.6,44.1,64.8,63.9,72.6,61.5,67.1,8.7,12.1,9.8,11.3,40.7,35.7,40.8
0610007P22Rik,8.6,9.2,3.3,3.7,5.6,4.2,12.7,13.8,7.0,11.8,7.7,12.5,8.5,9.2,6.9,6.6,5.8,6.4,9.6,9.0,8.9
0610008F07Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610009B14Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610009B22Rik,15.3,17.9,38.9,20.9,27.9,30.1,9.4,9.3,12.7,11.6,14.2,13.5,15.2,13.8,1.9,3.3,10.9,13.2,7.5,8.9,11.0
0610009D07Rik,8.6,12.5,21.5,13.6,17.3,17.9,24.9,23.6,30.8,46.8,34.4,45.0,29.4,30.6,13.0,13.2,28.8,35.3,22.9,21.1,23.4
0610009L18Rik,2.8,2.7,2.3,2.6,1.9,3.0,1.4,2.0,4.2,5.8,2.8,4.2,0.6,3.2,1.3,0.9,0.9,1.5,2.7,1.8,2.0
0610009O20Rik,5.4,6.4,5.2,5.5,9.6,7.5,10.2,9.9,18.1,25.9,12.8,16.7,11.0,12.4,22.5,30.6,17.3,18.4,11.5,11.4,12.5
0610010B08Rik,0.1,0.1,0.4,0.2,0.5,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610010F05Rik,2.3,1.9,2.1,1.2,1.6,1.9,10.5,15.2,6.9,2.9,8.9,4.0,3.6,4.2,0.8,0.4,5.5,6.2,15.6,14.6,16.2
0610010K14Rik,3.0,3.5,6.8,6.8,7.6,8.3,21.7,20.3,23.2,29.3,13.1,18.8,13.1,16.4,47.8,53.7,45.5,47.8,22.7,21.2,22.7
0610010O12Rik,0.2,0.1,0.3,0.9,0.7,0.1,20.1,19.8,8.3,15.8,11.6,12.4,24.3,22.2,2.8,2.0,2.2,2.8,8.7,7.2,7.2
0610011F06Rik,4.4,2.2,5.4,5.1,4.6,5.3,8.6,9.5,10.7,14.9,6.0,7.3,8.2,7.3,3.8,5.2,8.4,11.0,6.5,8.2,6.5
0610011L14Rik,2.7,2.3,2.2,2.4,2.6,2.1,6.3,6.2,5.8,10.1,7.8,11.8,6.6,6.7,6.0,8.4,7.6,7.8,6.2,6.1,6.8
